Ebene;Objektart;Objektartcode;Anzahl
geb01_f;AX_Gebiet_Bundesland;75005;1
geb01_f;AX_Gebiet_Kreis;75007;2
geb01_f;AX_Gebiet_Regierungsbezirk;75006;1
geb01_f;AX_KommunalesGebiet;75003;7
geb01_l;AX_Gebietsgrenze;75009;12
geb03_p;AX_NaturUmweltOderBodenschutzrecht;71006;5
gew01_f;AX_Fliessgewaesser;44001;9
gew01_f;AX_StehendesGewaesser;44006;29
gew01_l;AX_Gewaesserachse;44004;43
gew03_l;AX_Gewaesserstationierungsachse;57003;46
hdu01_b;;;50
hdu01_f;;;1
hdu01_l;;;49
rel01_l;AX_DammWallDeich;61003;1
sie01_f;AX_Ortslage;52001;18
sie02_f;AX_FlaecheBesondererFunktionalerPraegung;41007;43
sie02_f;AX_FlaecheGemischterNutzung;41006;106
sie02_f;AX_Friedhof;41009;9
sie02_f;AX_IndustrieUndGewerbeflaeche;41002;49
sie02_f;AX_SportFreizeitUndErholungsflaeche;41008;23
sie02_f;AX_TagebauGrubeSteinbruch;41005;2
sie02_f;AX_Wohnbauflaeche;41001;287
sie03_f;AX_BauwerkOderAnlageFuerSportFreizeitUndErholung;51006;27
sie03_f;AX_HistorischesBauwerkOderHistorischeEinrichtung;51007;2
sie03_l;AX_Leitung;51005;5
sie03_l;AX_SonstigesBauwerkOderSonstigeEinrichtung;51009;1
sie03_p;AX_BauwerkOderAnlageFuerIndustrieUndGewerbe;51002;64
sie03_p;AX_HistorischesBauwerkOderHistorischeEinrichtung;51007;19
sie03_p;AX_SonstigesBauwerkOderSonstigeEinrichtung;51009;37
sie03_p;AX_Transportanlage;51004;4
sie03_p;AX_VorratsbehaelterSpeicherbauwerk;51003;1
sie05_p;AX_Turm;51001;15
veg01_f;AX_Landwirtschaft;43001;403
veg02_f;AX_Wald;43002;556
veg03_f;AX_Gehoelz;43003;1
veg03_f;AX_UnlandVegetationsloseFlaeche;43007;4
veg04_f;AX_Vegetationsmerkmal;54001;14
veg04_l;AX_Vegetationsmerkmal;54001;3
veg04_p;AX_Vegetationsmerkmal;54001;2
ver01_f;AX_Platz;42009;7
ver01_f;AX_Strassenverkehr;42001;8
ver01_l;AX_Strassenachse;42003;1447
ver02_l;AX_Fahrwegachse;42008;972
ver02_l;AX_WegPfadSteig;53003;535
ver03_f;AX_Bahnverkehr;42010;5
ver03_l;AX_Bahnstrecke;42014;10
ver06_f;AX_Bahnverkehrsanlage;53004;1
ver06_f;AX_BauwerkImVerkehrsbereich;53001;1
ver06_l;AX_BauwerkImGewaesserbereich;53009;31
ver06_l;AX_BauwerkImVerkehrsbereich;53001;30
ver06_p;AX_Bahnverkehrsanlage;53004;1
ver06_p;AX_Flugverkehrsanlage;53007;1
ver06_p;AX_Strassenverkehrsanlage;53002;24
